generation,best_fitness,avg_fitness,min_fitness
0,0,0.0,0
1,0,0.0,0
2,1,0.02,0
3,2,0.08,0
4,0,0.0,0
5,1,0.06,0
6,1,0.058823529411764705,0
7,0,0.0,0
8,1,0.02040816326530612,0
9,1,0.0196078431372549,0
10,2,0.0392156862745098,0
11,1,0.04,0
12,0,0.0,0
13,2,0.04,0
14,1,0.0196078431372549,0
15,1,0.019230769230769232,0
16,1,0.038461538461538464,0
17,2,0.09615384615384616,0
18,3,0.057692307692307696,0
19,10,0.18867924528301888,0
20,2,0.05555555555555555,0
21,2,0.07547169811320754,0
22,1,0.018518518518518517,0
23,18,0.33962264150943394,0
24,43,0.8333333333333334,0
25,81,1.6851851851851851,0
26,81,1.5740740740740742,0
27,24,0.5471698113207547,0
28,27,0.7962962962962963,0
29,40,1.196078431372549,0
