generation,best_fitness,avg_fitness,min_fitness
0,2,0.04,0
1,0,0.0,0
2,2,0.06,0
3,0,0.0,0
4,0,0.0,0
5,1,0.02,0
6,1,0.04,0
7,2,0.06,0
8,5,0.28,0
9,2,0.2,0
10,1,0.06,0
11,2,0.12,0
12,4,0.26,0
13,6,0.32,0
14,3,0.22,0
15,1,0.1,0
16,2,0.08,0
17,1,0.08,0
18,2,0.18,0
19,1,0.08,0
20,3,0.24,0
21,1,0.1,0
22,6,0.3,0
23,3,0.16,0
24,32,0.76,0
25,81,4.94,0
26,5,0.38,0
